



No,対象資産,銘柄コード,銘柄名,約定日,受渡日,償還日,利率,取引種別,種別_取込,発行,換算レート,買数量,買簿価,売数量,取引プライス,売買損益,売却/償還
 17 ,国内債券,JPSAMPLE0017,○○金融機構債（貸付債）#1,2021/05/14,2021/05/17,2023/10/30,0.0057,普通,その他公団公社公庫債,JPY,1,1000000000,1017430000,,101.743,0,
 18 ,国内債券,JPSAMPLE0018,××支援債券#1,2021/05/15,2021/05/18,2023/10/30,0.0051,満期償還,その他公団公社公庫債,JPY,1,,,2000000000,100,-143623,満期償還
 19 ,国内債券,JPSAMPLE0019,××支援債券#2,2021/05/16,2021/05/21,2023/10/30,0.0045,満期償還,その他公団公社公庫債,JPY,1,,,200000000,100,-13352,満期償還
 20 ,国内債券,JPSAMPLE0020,愛知県公募公債,2021/05/17,2021/05/22,2023/10/30,0.0036,満期償還,公募地方債,JPY,1,,,500000000,100,-24412,満期償還
 21 ,国内債券,JPSAMPLE0021,××債務返済#1,2021/05/18,2021/05/23,2023/10/30,0.00163,満期償還,その他公団公社公庫債,JPY,1,,,2500000000,100,61804,満期償還
 22 ,国内債券,JPSAMPLE0022,××債務返済#2,2021/05/21,2021/05/24,2023/10/30,0.0035,満期償還,その他公団公社公庫債,JPY,1,,,800000000,100,-8869,満期償還
 23 ,国内債券,JPSAMPLE0023,公営企業債券#1,2021/05/22,2021/05/25,2023/10/30,0.0149,満期償還,その他公団公社公庫債,JPY,1,,,500000000,100,-330102,満期償還
 24 ,国内債券,JPSAMPLE0024,○○金融機構債（貸付債）#2,2021/05/23,2021/05/28,2023/10/30,0.0057,満期償還,その他公団公社公庫債,JPY,1,,,600000000,100,-101189,満期償還
 25 ,国内債券,JPSAMPLE0025,横浜市公募公債,2021/05/24,2021/05/29,2023/10/30,0.0134,満期償還,公募地方債,JPY,1,,,200000000,100,-126334,満期償還
 26 ,国内債券,JPSAMPLE0026,○○支援機構債（貸付債）#7,2021/05/25,2021/05/30,2023/10/30,0.009,普通,その他公団公社公庫債,JPY,1,800000000,800000000,,100,0,
 27 ,国内債券,JPSAMPLE0027,○○支援機構債（貸付債）#8,2021/05/28,2021/05/31,2023/10/30,0.009,普通,その他公団公社公庫債,JPY,1,400000000,400000000,,100,0,
 28 ,国内債券,JPSAMPLE0028,大阪府公募公債（5年）#1,2021/05/15,2021/05/21,2022/10/30,0.0066,普通,公募地方債,JPY,1,,,1312000000,100.369,1925453,売却
 29 ,国内債券,JPSAMPLE0029,大阪府公募公債（5年）#2,2021/05/15,2021/05/21,2022/10/30,0.00172,普通,公募地方債,JPY,1,1300000000,1297738000,,99.826,0,
 30 ,国内債券,JPSAMPLE0030,××電力債#1,2021/05/18,2021/03/20,2025/08/25,0.0131,満期償還,公募事業債,JPY,1,,,200000000,100,-151904,満期償還
 31 ,国内債券,JPSAMPLE0031,××電力債#2,2021/05/21,2021/03/20,2025/08/25,0.0375,満期償還,公募事業債,JPY,1,,,600000000,100,-1422135,満期償還
 32 ,国内債券,JPSAMPLE0032,福岡県公募公債,2021/05/22,2021/03/20,2025/08/25,0.0108,普通,公募地方債,JPY,1,100000000,104561000,,104.561,0,
 33 ,国内投資信託,SAMPLE100001,○○日本ﾌｧﾝﾄﾞ,2021/05/15,2021/05/18,2023/03/30,-,普通,,JPY,1,,,10,10743,7430,売却
 34 ,国内投資信託,SAMPLE100002,××ﾌｧﾝﾄﾞF,2021/05/16,2021/05/21,2023/03/30,-,普通,,JPY,1,,,10,10581,5810,売却
 35 ,国内投資信託,SAMPLE100003,米国国債★★投信1,2021/05/17,2021/05/22,2023/03/30,-,普通,,JPY,1,,,10,10000,5810,売却
 36 ,外国債券,XSSAMPLE0001,ZEST X 0001-001(XXXXXXX),2021/05/18,2021/05/23,2025/08/25,0.0084214,普通,円建外債,JPY,1,,,200000000,100,0,売却
 37 ,外国債券,FRSAMPLE0001,フランス国債#1,2021/05/21,2021/05/24,2025/08/25,-,普通,国債,EUR,132.18,10000000,1321800000,,98.39,0,
 38 ,外国債券,FRSAMPLE0002,フランス国債#2,2021/05/22,2021/05/25,2025/08/25,-,普通,国債,EUR,133.56,,,10000000,98.49,1405600,売却
 39 ,外国債券,USSAMPLE0001,US TREASURY NOTE#1,2021/05/23,2021/05/28,2025/08/25,0.035,普通,国債,USD,110.88,,,20000000,106.5703125,921144,売却
 40 ,外国債券,FRSAMPLE0003,フランス国債#3,2021/05/24,2021/05/29,2025/08/25,-,普通,国債,EUR,133.45,20000000,2669000000,,98.265,0,
 41 ,外国投資信託,SAMPLE200001,○○Yen Hedged Fund,2021/05/25,2021/05/30,2023/03/30,-,普通,,JPY,1,,,10,9983,5810,売却
